name,price,url
Подвесной светильник Сансет Black,2990,/product/podvesnoj-svetilnik-sanset-black
Торшер Бабл-1,5990,/product/torsher-babl-1
Настольная лампа Дэнди White,3990,/product/nastolnaya-lampa-dendi-white
Бра Варио Black,790,/product/bra-vario-black
Подвесной светильник Кэндел White,1990,/product/podvesnoj-svetilnik-kendel-white
Подвесной светильник Кая Black,2490,/product/podvesnoj-svetilnik-kaya-black
Настольная лампа Сканди White,4490,/product/nastolnaya-lampa-skandi-white
Настольная лампа Спайк Orange,990,/product/nastolnaya-lampa-spajk-orange
Настольная лампа Рэй Black,2990,/product/nastolnaya-lampa-rej-black
Подвесной светильник Портланд Black,3190,/product/podvesnoj-svetilnik-portland-black
Торшер Билли White,13 990,/product/torsher-billi-white
Бра Moderli Alina,3390,/product/bra-moderli-alina
Настольная лампа Junior-4,2990,/product/nastolnaya-lampa-junior-4
